,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y,cell_type,wf_duration,layer,rf_area,mod_idx_dg,run_mod_dg,run_pval_dg,pref_ori_dg,pref_tf_dg,c50_dg,lifetime_sparseness_dg
32,91,0.1685307627061492,0.06213523516089736,0.046682850835525834,0.14036308941036502,probeC,767871931,3.562592001002224,2.5736339630306726,1.4883873078181222,1.75413168508618,0.99,0.00040023073262232,0.0122618012300695,3,3,RS,0.727973199329983,L56,1000.0,1.051698179493528,0.2968519429414659,2.921340458442841e-11,90.0,2.0,0.1929725490196079,0.087474234777548
33,92,0.23184339265691314,0.11533962842622932,0.0,0.1316648570740249,probeC,767871931,9.704344013279465,9.457647775746496,7.491004252535165,6.06195134899431,0.99,0.000260631570716021,0.017454310064616,5,5,RS,0.618090452261307,L56,700.0,3.576192568712203,0.6575102790656985,2.2772457292141543e-05,45.0,2.0,0.6079803921568628,0.2074545947245936
34,93,0.25183753877705123,0.13461124476600514,0.04734263385046382,0.18108265364233306,probeC,767871931,2.519652980049485,2.4741011578305914,1.6601243048740595,2.81560985673967,0.99,0.000284528211725421,0.00475919724615983,4,2,RS,0.686767169179229,L56,1300.0,0.8236395209033622,0.2315140845070421,0.0010889114940684,45.0,2.0,0.0902901960784313,0.063365156334539
35,96,0.15203913831553542,0.019641948249302654,0.0,0.17734907231616218,probeC,767871931,16.708947978326915,13.361771277676215,8.147284919856068,9.75241248973972,0.99,0.0251495892885158,0.0507767036935788,3,4,RS,0.576884422110553,L56,500.0,0.6116975523266757,-0.1319124423963134,0.3900852830296106,0.0,2.0,1.061494117647059,0.2766886025868262
36,97,0.07457552122080624,0.0720844323824382,0.018486149769790218,0.06960525754000965,probeC,767871931,6.018040026308372,8.543570993296772,8.012348707883547,6.25220205970318,0.99,0.0241157965033862,0.0260601200607954,3,5,RS,0.755443886097152,L56,600.0,0.0467004712676345,-0.6581879844961239,7.559508027169692e-07,0.0,2.0,0.1330745098039216,0.0730789217107641
37,99,0.25812919911372123,0.2135741940532053,0.19947298651609974,0.26333344662191427,probeC,767871931,3.1429108334116322,7.154174283973187,11.790562643114164,6.04967061528717,0.99,0.00183200834155299,0.0185561427455731,4,4,FS,0.247236180904523,L4,200.0,5.705038461207899,0.2490566037735848,0.033785703543514,135.0,2.0,0.231478431372549,0.3073521878209741
38,102,0.26412428358121265,0.19764552130024346,0.036849880515937204,0.20265527123592184,probeC,767871931,2.5995176798521724,2.8620759699370306,1.9892868825646057,1.94136254324412,0.99,0.00176501880464509,0.0700750483810589,4,4,RS,0.65929648241206,L4,500.0,3.711933874209988,-0.5866842452208306,3.159600267178928e-09,90.0,2.0,0.1673019607843137,0.1350979204278609
39,103,0.18004899656952708,0.11607108585449252,0.011816874167851644,0.1219443917283255,probeC,767871931,2.2142879513921514,3.4450538289660777,2.537209682695453,1.79771822357133,0.99,0.00368055620506094,0.128418650485446,3,4,RS,0.535678391959799,L4,600.0,10.70570291719179,0.4681274900398406,4.882037435054734e-06,135.0,2.0,,0.1779736323292552
40,104,0.14934930726400863,0.008853954393014552,0.0,0.08341120918762916,probeC,767871931,18.55209997181246,12.23237863091611,12.301684658161596,10.5926361311614,0.99,0.00044449276346094,0.00302630753909395,4,4,FS,0.219765494137353,L4,400.0,3.962328992321744,0.2046920821114369,0.0544282043026271,45.0,2.0,0.0860117647058823,0.0382559744173433
41,105,0.07227998195440064,0.14331056856056498,0.04239145357147036,0.09414887164615089,probeC,767871931,3.2556609978389557,2.338005281332521,1.9381746810598626,2.04625208851325,0.99,0.00403735780671476,0.423504710266104,4,4,RS,0.604355108877722,L4,300.0,7.03060530463682,0.5325248070562294,7.640893521760538e-07,0.0,2.0,0.5395254901960785,0.6394485446215662
42,108,0.12110882622213515,0.10845124512955609,0.09230806712485004,0.1162995869342093,probeC,767871931,2.9706536377587778,3.0773918342474103,1.9831534183840367,1.88901843236126,0.99,0.00599439459264509,0.30662267280543,3,3,RS,0.549413735343384,L4,500.0,5.386191420141825,0.7003610108303249,4.911764321186173e-05,135.0,2.0,1.048658823529412,0.1635510508019793
43,110,0.1179425224584116,0.14430795294293458,0.038326217887377535,0.11741611434136223,probeC,767871931,2.300416549218579,2.226284785699777,1.369807000327118,1.43674518198296,0.99,1.81309130533939e-05,0.0182775996146449,1,2,RS,0.590619765494137,L4,100.0,6.04831713895234,0.5476709202199398,6.626392107062994e-17,0.0,2.0,0.4154509803921569,0.0600510433997801
44,112,0.09016393601408101,0.12168635657967264,0.011303621113501961,0.08562032032133175,probeC,767871931,2.582291960286887,2.69754214909608,2.1876022244030096,1.81936050018636,0.99,0.00054069023708248,0.0113983276085043,3,4,RS,0.618090452261307,L4,600.0,4.794764630588969,0.541019955654102,4.06523817463908e-05,0.0,2.0,0.8176235294117649,0.187933709683873
45,114,0.18917798121016577,0.0,0.0,0.11237196725885205,probeC,767871931,26.739014688840868,14.539914686166973,13.047922800130847,18.2601424197359,0.99,0.000209177305261334,0.00701555489013992,4,4,FS,0.219765494137353,L4,600.0,7.34176762508851,0.3417404697728147,0.0291704137206743,135.0,2.0,0.4197294117647059,0.4005756987481899
46,115,0.059579895713105666,0.06279590074958848,0.09661050418263548,0.08207826041211541,probeC,767871931,1.6254815371605753,1.4726792606134471,2.657834478246647,1.68688963495204,0.97,0.0169084166264621,0.145847169179957,4,3,RS,0.618090452261307,L4,400.0,5.3116670474840735,-0.1335257481391464,0.3570432298222536,45.0,2.0,0.021835294117647,0.1087391556948915
47,116,0.1948141992518652,0.15232765269366091,0.09447812936543394,0.1537833193909989,probeC,767871931,1.6724607723386264,2.086126345724152,1.8339057899901865,1.67289765146604,0.99,0.0316515208824909,0.215704844060317,3,4,RS,0.535678391959799,L4,600.0,8.445935459509538,-0.1881918819188191,0.2235054551523984,135.0,2.0,0.0303921568627451,0.0476251267942251
48,117,0.10757997968643658,0.09792460130146827,0.11850152430931708,0.10893113084239839,probeC,767871931,2.9737855867706475,2.49644525695714,2.7580143931959435,1.91186864999666,0.99,0.0979901448752257,0.381912856705184,4,5,RS,0.604355108877722,L4,600.0,4.239744688116936,0.1616558741905642,0.2276735985331368,90.0,2.0,0.017556862745098,0.2864861696751341
49,128,0.1521871580368156,0.14470976668025576,0.0,0.10743274359181883,probeC,767871931,10.870995020201072,10.877513711151737,9.609093882891724,7.53765262888432,0.99,0.0107091678840821,0.0896479139956408,4,4,FS,0.233500837520938,L4,600.0,0.179686293951965,0.7416279944813746,2.6232950299228363e-15,0.0,2.0,0.0646196078431372,0.2219579987951201
50,129,0.13550854224893466,0.09917373215949019,0.0,0.09453038950570429,probeC,767871931,8.744401641141284,7.6944952264879145,6.106885835786719,6.1914023616777,0.99,0.0365966710761186,0.264760310297301,4,4,FS,0.233500837520938,L4,300.0,7.241544819320839,0.3234763793725208,0.144087575006474,45.0,2.0,0.4111725490196079,0.1829945927930722
51,130,0.14860772155169819,0.052945821187440734,0.07951505049168797,0.1036738285713357,probeC,767871931,23.545992671239315,23.172862075969938,18.49852796859666,13.1305202149668,0.99,0.0402197199440319,0.148159702559801,4,5,FS,0.233500837520938,L4,400.0,5.523535485247976,-0.1951876302988186,0.0675430028631422,0.0,2.0,0.3726666666666667,0.1066869374705419
52,134,0.19602301305205483,0.15429215260319354,0.042636904716155735,0.17477345376083336,probeC,767871931,2.951861943687557,2.0678448100751576,1.347317631665031,1.10546735714544,0.99,0.006973899738361,0.12349426898314,4,4,RS,0.549413735343384,L4,400.0,0.4493547680210338,0.3106876553438277,0.0001729127423504,45.0,2.0,0.0988470588235294,0.0087671656868081
53,135,0.13783101156288008,0.05872790570533089,0.0,0.20044038751514454,probeC,767871931,12.377462494910585,6.656510257972782,3.193490350016356,5.6056516285481,0.99,0.0384666204831461,0.073241340540409,4,3,RS,0.439530988274707,L4,400.0,4.525268610922506,0.1564352982211369,0.0637883582093033,45.0,2.0,0.1758588235294118,0.0134240866076941
54,142,0.16048405283233447,0.12513875673809155,0.018341930004388395,0.12404101487451506,probeC,767871931,1.5706724294528487,1.9784684135689623,1.4066077854105332,1.58743582427459,0.99,0.000166370878213372,0.0149722236024689,4,3,RS,0.563149078726968,L4,300.0,6.736029728521818,0.2337749230563361,0.0062752319297855,45.0,2.0,0.0902901960784313,0.2742330822163299
55,143,0.3963207336728702,0.18591577573315138,0.030802572284896135,0.2311735310609401,probeC,767871931,15.11478593128504,19.87202925045704,15.239614000654235,11.3782004414112,0.99,0.0146207558914428,0.118030488798938,4,4,FS,0.219765494137353,L4,400.0,3.7789668292805487,0.7100778455712182,9.873981372393412e-14,135.0,2.0,0.0646196078431372,0.6503565565474518
56,144,0.1821318465198411,0.1405870803734908,0.11682256823681145,0.16144894263705878,probeC,767871931,2.629271195464938,2.096282754418038,1.9218187765783448,1.92716923625473,0.99,0.00206002892572342,0.0304761571586997,4,5,RS,0.563149078726968,L4,400.0,9.385982017703531,0.3344834195898025,2.5590355895804794e-05,45.0,2.0,0.021835294117647,0.5048058461042964
57,146,0.37097610022644567,0.4239859832519456,0.3310097546452381,0.38570584966321075,probeC,767871931,3.4639356071283163,2.7706682916920577,1.717369970559372,1.58119479566933,0.99,0.000399350916786738,0.105634540114964,4,5,RS,0.604355108877722,L4,400.0,0.577969274407398,-0.0380697050938336,0.568215625154953,135.0,2.0,0.0475058823529411,0.0054453486210827
58,150,0.17231704134478656,0.1309460412500993,0.06122526354240807,0.21334822987442612,probeC,767871931,6.11982836919415,4.527726995734309,1.445453058554138,2.21969228668859,0.99,0.0493955194971435,0.176124976685169,4,4,FS,0.384589614740369,L23,400.0,0.2171313941945949,0.3925271193250301,2.481958384106911e-08,90.0,2.0,0.1373529411764706,0.2835375378820056
59,162,0.11438951181302563,0.09760250116379716,0.04466614537615856,0.0860620238035508,probeC,767871931,10.528046603401298,9.638431850497664,10.565914295060518,7.1139673159882,0.99,0.0493128673570225,0.337717160652424,4,5,FS,0.302177554438861,L23,300.0,4.584395086945492,0.4090909090909091,0.0069727405730355,135.0,2.0,,0.4535186174951006
60,165,0.3872527910454604,0.3328869485271594,0.15175915913965926,0.3494853445536362,probeC,767871931,2.5775940367690815,2.000812512695511,1.091756624141315,1.06520265646631,0.99,0.00242775663491244,0.0665034494793212,5,4,RS,0.68676716917923,L23,700.0,1.2011032022711914,-0.2108843537414965,0.0489021774749708,135.0,2.0,0.1459098039215686,0.0612156370685769
61,166,0.22908527305304327,0.3067212913163785,0.23609132062201804,0.3194995432240019,probeC,767871931,19.682733565097564,16.65244769449523,5.863591756624142,6.1916036851811,0.99,0.0420947271455988,0.297220870111737,4,4,RS,1.71691792294807,L23,500.0,0.2758755684112091,0.2172211350293542,0.3159800312285084,0.0,2.0,0.3641098039215687,0.0797384431657296
62,172,0.12662944062060838,0.37127585216819864,0.27165648179260593,0.30895114432218956,probeC,767871931,5.905289861881049,13.164736949014829,12.236261040235524,8.39871325290746,0.99,0.0892330881585299,0.186671740808559,4,5,FS,0.233500837520938,L23,600.0,4.454509323065786,0.0866396761133603,0.7226499745341393,0.0,2.0,0.3598313725490197,0.1071997305900328
63,174,0.09400226960132987,0.03993923300692452,0.022239436756556662,0.1274514332870444,probeC,767871931,11.636756553603309,6.240097501523462,2.680323846908734,5.61390589218732,0.99,0.0789804534667759,0.377102104355228,3,3,FS,0.247236180904523,L23,700.0,3.6197048382938233,-0.1817313345091122,0.1600467109762359,0.0,2.0,1.0443803921568628,0.0681606343008762
64,176,0.09903101673543643,0.09961950698778099,0.0698159720584994,0.0934095679008428,probeC,767871931,2.8093582636474683,2.732073938655292,2.316404972194962,1.5871338390195,0.99,0.0428543142926563,0.299558433979924,5,5,RS,0.782914572864322,L23,500.0,1.3578448596982278,-0.3619378306878307,0.1663174070536556,0.0,2.0,0.1074039215686274,0.0521365758453516
65,177,0.17921406099710263,0.1623975394489918,0.06032060017454473,0.17865650910351197,probeC,767871931,4.185849854364371,3.3577087141986595,1.7459928034020282,2.46198512302524,0.99,0.0583362794013305,0.267655557518143,5,5,RS,0.686767169179229,L23,500.0,6.684016576741109,-0.452815506508206,1.7145794311886464e-05,0.0,2.0,0.1116823529411764,0.1780836864536206
66,180,0.15310525331932648,0.11761061286507286,0.031015873648475002,0.1484658892945224,probeC,767871931,26.840803031726647,22.00284379443429,15.495175008177952,12.0092489628048,0.99,0.00932774198114639,0.0449984185219301,5,5,FS,0.206030150753769,L23,400.0,3.679750457952454,0.5004181767493726,0.0052146855630773,45.0,2.0,0.432564705882353,0.260603827334153
