unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
117.0,0.0,0.10174931529765005,[0.01755686],['RS'],0.11850152430931708,['L4'],[0.28648617],0.6666666666666666,[4.23974469],0.056527755035322126,[90.],[2.],0.0,[600.],[4],[5],[0.16165587],[0.2276736],767871931.0,0.01618751423090854,[1.91186865],[0.60435511],6,behavior,1
128.0,0.0,0.06839293794834474,[0.06461961],['FS'],0.0,['L4'],[0.221958],0.0,[0.17968629],0.043248302924221126,[0.],[2.],0.0,[600.],[4],[4],[0.74162799],[2.62329503e-15],767871931.0,0.09546097792407009,[7.53765263],[0.23350084],4,unexplained,0
129.0,0.0,0.05979278037832094,[0.41117255],['FS'],0.0,['L4'],[0.18299459],0.0,[7.24154482],0.018903728207012714,[45.],[2.],0.0,[300.],[4],[4],[0.32347638],[0.14408758],767871931.0,0.07204770074688793,[6.19140236],[0.23350084],4,unexplained,0
130.0,0.0,0.06041909433804364,[0.37266667],['FS'],0.07951505049168797,['L4'],[0.10668694],0.0,[5.52353549],0.07678717771622616,[0.],[2.],0.0,[400.],[4],[5],[-0.19518763],[0.067543],767871931.0,0.08130388913831163,[13.13052021],[0.23350084],4,unexplained,0
134.0,0.0,0.020526682883701873,[0.09884706],['RS'],0.042636904716155735,['L4'],[0.00876717],0.0,[0.44935477],0.0,[45.],[2.],0.0,[400.],[4],[4],[0.31068766],[0.00017291],767871931.0,0.05207315133461308,[1.10546736],[0.54941374],9,unexplained,0
135.0,0.0,0.03772907885490724,[0.17585882],['RS'],0.0,['L4'],[0.01342409],0.0,[4.52526861],0.007797025548385394,[45.],[2.],0.0,[400.],[4],[3],[0.1564353],[0.06378836],767871931.0,0.05889592580309588,[5.60565163],[0.43953099],7,unexplained,0
142.0,0.0,0.008262589355788452,[0.0902902],['RS'],0.018341930004388395,['L4'],[0.27423308],0.0,[6.73602973],0.005845470275251885,[45.],[2.],0.0,[300.],[4],[3],[0.23377492],[0.00627523],767871931.0,0.06518463655607554,[1.58743582],[0.56314908],4,unexplained,0
143.0,0.0,0.10335908548364996,[0.06461961],['FS'],0.030802572284896135,['L4'],[0.65035656],0.0,[3.77896683],0.12289400048474923,[135.],[2.],0.0,[400.],[4],[4],[0.71007785],[9.87398137e-14],767871931.0,0.21109000340555711,[11.37820044],[0.21976549],3,multi-source2,3
144.0,0.0,0.03703777866438236,[0.02183529],['RS'],0.11682256823681145,['L4'],[0.50480585],0.0,[9.38598202],0.03939156607240053,[45.],[2.],0.0,[400.],[4],[5],[0.33448342],[2.55903559e-05],767871931.0,0.17444538158450762,[1.92716924],[0.56314908],8,stimulus2,1
146.0,0.0,0.054657200059652335,[0.04750588],['RS'],0.3310097546452381,['L4'],[0.00544535],0.3333333333333333,[0.57796927],0.04426311610635205,[135.],[2.],0.0,[400.],[4],[5],[-0.03806971],[0.56821563],767871931.0,0.3157352130470905,[1.5811948],[0.60435511],8,stimulus2,1
150.0,0.0,0.0400359119926194,[0.13735294],['FS'],0.06122526354240807,['L23'],[0.28353754],0.0,[0.21713139],0.051406989642277565,[90.],[2.],0.0,[400.],[4],[4],[0.39252712],[2.48195838e-08],767871931.0,0.03953597554261488,[2.21969229],[0.38458961],4,unexplained,0
162.0,0.0,0.1245602401908592,[nan],['FS'],0.04466614537615856,['L23'],[0.45351862],0.0,[4.58439509],0.09074794087722708,[135.],[2.],0.0,[300.],[4],[5],[0.40909091],[0.00697274],767871931.0,0.03168179504448996,[7.11396732],[0.30217755],6,behavior,1
165.0,0.0,0.02194998710602316,[0.1459098],['RS'],0.15175915913965926,['L23'],[0.06121564],0.0,[1.2011032],0.01650640363025513,[135.],[2.],0.0,[700.],[5],[4],[-0.21088435],[0.04890218],767871931.0,0.2073563912190634,[1.06520266],[0.68676717],5,stimulus1,1
166.0,0.02879847328830205,0.15175100663710553,[0.3641098],['RS'],0.23609132062201804,['L23'],[0.07973844],0.3333333333333333,[0.27587557],0.08095255672950971,[0.],[2.],0.0,[500.],[4],[4],[0.21722114],[0.31598003],767871931.0,0.02192926808108131,[6.19160369],[1.71691792],6,behavior,1
