unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,state,stimulus,total_rate,wf_duration,label,n_sources,cluster_name
107.0,0.0,0.05811121353198641,[0.09884706],['FS'],0.09077881929760452,['L4'],[0.23543971],0.6666666666666666,[0.95148828],0.05030533434757358,[45.],[2.],0.0,[400.],[4],[4],[0.67506068],[5.91214213e-18],839068429.0,1.8697325818428644e-05,0.1836934098353347,[20.74307783],[0.24723618],8,1,stimulus2
108.0,0.022493414197678384,0.06614016740645512,[0.49246275],['FS'],0.32112873699430533,['L4'],[0.20970558],0.6666666666666666,[6.04089147],0.015098163339869575,[0.],[2.],0.0,[400.],[4],[4],[0.56870229],[0.00054961],839068429.0,0.0001597337040742497,0.2859620280333414,[6.02506367],[0.3159129],7,1,stimulus1
112.0,0.0,0.06907778786006727,[0.08601176],['FS'],0.1320849588362463,['L4'],[0.187989],0.3333333333333333,[2.01735995],0.060577572630045484,[45.],[2.],0.0,[400.],[4],[4],[0.34247223],[0.00544299],839068429.0,-2.3070482117271142e-05,0.14989491893177914,[15.60092836],[0.20603015],8,1,stimulus2
113.0,0.03374312084387445,0.06570713369162706,[1.04010196],['FS'],0.27709158950125473,['L4'],[0.16102026],0.6666666666666666,[3.83437314],0.046984034769305946,[90.],[2.],0.0,[200.],[4],[3],[-0.13390313],[0.325258],839068429.0,0.001028352217877715,0.213313833364289,[5.55538625],[0.38458961],7,1,stimulus1
115.0,0.03021210457499155,0.1308702443260516,[0.34699608],['FS'],0.1974458077839537,['L4'],[0.11710633],0.6666666666666666,[4.22105178],0.11925196773214378,[90.],[2.],0.0,[300.],[4],[4],[0.60009766],[7.66232764e-08],839068429.0,0.001216642896734621,0.18525158416421514,[16.52252772],[0.19229481],6,3,multi-source2
116.0,0.051321423970866434,0.025720128597014936,[0.21008627],['RS'],0.06823220437231639,['L4'],[0.68070402],0.3333333333333333,[5.59239577],0.03154870383472894,[45.],[2.],0.0,[500.],[6],[3],[-0.01241048],[0.87313146],839068429.0,0.0008169672590301547,0.12891850028299628,[3.71198915],[0.57688442],8,1,stimulus2
118.0,0.047295968272826096,0.023553519366231866,[0.30421176],['RS'],0.22472077662730391,['L4'],[0.13412593],0.6666666666666666,[5.27114852],0.023094156723780568,[0.],[2.],0.0,[1200.],[4],[3],[0.3],[0.13567866],839068429.0,-2.699781235355747e-05,0.19677448305724463,[2.80764932],[0.56314908],8,1,stimulus2
119.0,0.03840184848388759,0.01762909770733718,[0.45395686],['RS'],0.14421299095119855,['L4'],[0.08267703],0.6666666666666666,[3.36312324],0.010563815241832652,[90.],[2.],0.0,[500.],[3],[4],[0.3399465],[0.00010398],839068429.0,-2.1715251264753376e-05,0.11111239148339043,[3.58026124],[0.59061977],8,1,stimulus2
120.0,0.018507861460316223,0.010907159535272215,[0.0774549],['RS'],0.0514061723181769,['L23'],[0.26733274],0.6666666666666666,[0.75331859],0.0,[0.],[2.],0.0,[400.],[3],[3],[0.04294479],[0.87123259],839068429.0,8.286543510902523e-05,0.04078317249735377,[1.00075513],[0.54941374],1,0,unexplained
128.0,0.052665891635161374,0.17537268886340804,[0.26998431],['FS'],0.26828444280058295,['L23'],[0.49815711],0.6666666666666666,[1.68113923],0.16574651729710982,[90.],[2.],0.0,[300.],[4],[4],[0.58730159],[0.00018668],839068429.0,0.007859008845517934,0.12252971355102871,[13.12557458],[0.21976549],6,3,multi-source2
135.0,0.011078573093971578,0.049507820073003785,[0.03039216],['RS'],0.194648897500809,['L23'],[0.50328984],0.6666666666666666,[7.75008265],0.028023317727232655,[135.],[2.],0.0,[500.],[4],[3],[0.14172535],[0.41593912],839068429.0,0.0013660237906758521,0.11879463681819687,[1.83506491],[0.57688442],8,1,stimulus2
136.0,0.02468160490476059,0.01752634544893352,[0.52241176],['RS'],0.12902347539634113,['L23'],[0.62988478],0.6666666666666666,[3.96646154],0.03133604359571698,[45.],[2.],0.0,[400.],[4],[3],[0.62462649],[0.00106285],839068429.0,-5.461379130791144e-05,0.1121540324489773,[1.79677653],[0.61809045],8,1,stimulus2
143.0,0.024172973855570712,0.03356423378608444,[0.45823529],['RS'],0.17393018761705797,['L23'],[0.17316506],0.6666666666666666,[2.53346557],0.018905927125862875,[0.],[2.],0.0,[400.],[6],[5],[-0.08318071],[0.41143622],839068429.0,0.005240249850113709,0.1177780630873981,[3.27177195],[0.67303183],8,1,stimulus2
148.0,0.017836137017678656,0.035960192964312965,[0.5823098],['RS'],0.15080725837425665,['L23'],[0.52993146],0.6666666666666666,[1.96376134],0.03516229792054215,[0.],[2.],0.0,[300.],[3],[3],[-0.14608774],[0.60922719],839068429.0,0.0007588814617993211,0.12145369687100867,[1.44593196],[0.60435511],8,1,stimulus2
149.0,0.010896815218734313,0.04587797296760734,[nan],['RS'],0.4195910319316426,['L23'],[0.50374331],0.6666666666666666,[4.49420752],0.06762850065402748,[135.],[2.],0.0,[500.],[2],[3],[0.1697861],[0.7144365],839068429.0,0.0004680426183287123,0.4341805353336413,[1.45942217],[0.6318258],7,1,stimulus1
150.0,0.02551031360089375,0.06874473022376386,[0.41545098],['FS'],0.40653582920621234,['L23'],[0.1311835],0.6666666666666666,[5.67712619],0.18447705003422452,[0.],[2.],0.0,[700.],[4],[3],[0.08365608],[0.39408308],839068429.0,0.0029553255774888544,0.3896889354285794,[21.34160657],[0.21976549],2,2,stimulus+population
151.0,0.11035420410594943,0.1893103727540481,[0.79623137],['RS'],0.2822241387564433,['L23'],[0.16647654],0.6666666666666666,[4.45874909],0.17667398415482324,[0.],[2.],0.0,[600.],[5],[3],[0.23047473],[0.21159241],839068429.0,0.023001170454102927,0.15467857622505898,[3.34140523],[0.49447236],4,4,multi-source1
155.0,0.062057775059725206,0.07226214100071437,[0.12023922],['FS'],0.28795451446963566,['L23'],[0.14010447],0.3333333333333333,[4.72085259],0.05582812467537819,[90.],[2.],0.0,[600.],[3],[2],[0.03100216],[0.68519913],839068429.0,0.012168201658056366,0.19515078822514792,[12.45771014],[0.32964824],7,1,stimulus1
