unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
92.0,0.0,0.039506381344302864,[0.60798039],['RS'],0.23184339265691314,['L56'],[0.20745459],0.0,[3.57619257],0.06983423575154986,[45.],[2.],0.0,[700.],[5],[5],[0.65751028],[2.27724573e-05],767871931.0,0.17384815420018584,[6.06195135],[0.61809045],11,stimulus1,1
93.0,0.010254461592064622,0.03231030851847159,[0.0902902],['RS'],0.25183753877705123,['L56'],[0.06336516],0.0,[0.82363952],0.0765467222267037,[45.],[2.],0.0,[1300.],[4],[2],[0.23151408],[0.00108891],767871931.0,0.2473015739951979,[2.81560986],[0.68676717],4,stimulus2,1
96.0,0.0,0.03966875516715072,[1.06149412],['RS'],0.15203913831553542,['L56'],[0.2766886],0.0,[0.61169755],0.0486634300518727,[0.],[2.],0.0,[500.],[3],[4],[-0.13191244],[0.39008528],767871931.0,0.12618492709180146,[9.75241249],[0.57688442],11,stimulus1,1
97.0,0.0,0.028353595490743722,[0.13307451],['RS'],0.07457552122080624,['L56'],[0.07307892],0.0,[0.04670047],0.00855179760618303,[0.],[2.],0.0,[600.],[3],[5],[-0.65818798],[7.55950803e-07],767871931.0,0.029845053370834963,[6.25220206],[0.75544389],2,unexplained,0
99.0,0.029844620771698315,0.04754297672804384,[0.23147843],['FS'],0.25812919911372123,['L4'],[0.30735219],0.0,[5.70503846],0.16587167931291613,[135.],[2.],0.0,[200.],[4],[4],[0.2490566],[0.0337857],767871931.0,0.09169827211541734,[6.04967062],[0.24723618],6,behavior,1
102.0,0.0,0.03249459020295333,[0.16730196],['RS'],0.26412428358121265,['L4'],[0.13509792],0.0,[3.71193387],0.022047645144202366,[90.],[2.],0.0,[500.],[4],[4],[-0.58668425],[3.15960027e-09],767871931.0,0.24550292745515892,[1.94136254],[0.65929648],10,stimulus2,1
103.0,0.0,0.0115932475053258,[nan],['RS'],0.18004899656952708,['L4'],[0.17797363],0.0,[10.70570292],0.05214537743977823,[135.],[2.],0.0,[600.],[3],[4],[0.46812749],[4.88203744e-06],767871931.0,0.1745625655903744,[1.79771822],[0.53567839],11,stimulus1,1
104.0,0.0,0.10701633593432351,[0.08601176],['FS'],0.14934930726400863,['L4'],[0.03825597],0.0,[3.96232899],0.07679108091284437,[45.],[2.],0.0,[400.],[4],[4],[0.20469208],[0.0544282],767871931.0,0.07741070298536383,[10.59263613],[0.21976549],6,behavior,1
105.0,0.0,0.010587730963501163,[0.53952549],['RS'],0.07227998195440064,['L4'],[0.63944854],0.3333333333333333,[7.0306053],0.018304494130917635,[0.],[2.],0.0,[300.],[4],[4],[0.53252481],[7.64089352e-07],767871931.0,0.052733784021256926,[2.04625209],[0.60435511],2,unexplained,0
108.0,0.0,0.0,[1.04865882],['RS'],0.12110882622213515,['L4'],[0.16355105],0.0,[5.38619142],0.008822981508671867,[135.],[2.],0.0,[500.],[3],[3],[0.70036101],[4.91176432e-05],767871931.0,0.14241705130586563,[1.88901843],[0.54941374],9,stimulus1,1
110.0,0.0,0.02151801752904061,[0.41545098],['RS'],0.1179425224584116,['L4'],[0.06005104],0.3333333333333333,[6.04831714],0.005499077201343905,[0.],[2.],0.0,[100.],[1],[2],[0.54767092],[6.62639211e-17],767871931.0,0.09980521359634084,[1.43674518],[0.59061977],2,unexplained,0
112.0,0.0,0.0,[0.81762353],['RS'],0.09016393601408101,['L4'],[0.18793371],0.3333333333333333,[4.79476463],0.011028052629021646,[0.],[2.],0.0,[600.],[3],[4],[0.54101996],[4.06523817e-05],767871931.0,0.0829812197357892,[1.8193605],[0.61809045],2,unexplained,0
